Level,density,LeniencyMetric,LevelSlopeMetric,LinearityMetric,Patterndensity,patternvariation
LaunchpadLevel_1,0.24120603015075376,0.6889271255060728,0.02147771731587382,0.4371688757445301,0.12579771,0.196852848
LaunchpadLevel_10,0.30303030303030304,0.7259631147540984,0.05831582701239517,0.8348344495824205,0.147515637,0.197965218
LaunchpadLevel_100,0.2621359223300971,0.6740537848605578,0.048408102161056864,0.8460288386411079,0.080949483,0.189360091
LaunchpadLevel_1000,0.2559241706161137,0.6965399239543726,0.06654226427534024,0.9333709386135322,0.138463571,0.214929046
LaunchpadLevel_101,0.2523364485981308,0.6310714285714285,0.07483228528695728,0.9762586706117926,0.133268166,0.211588141
LaunchpadLevel_102,0.2222222222222222,0.7353804347826086,0.04083725712354624,0.7988394129164951,0.119404034,0.197965218
LaunchpadLevel_103,0.2653061224489796,0.7019805194805194,0.02608963324533401,0.4874206435791311,0.138365449,0.233122094
LaunchpadLevel_104,0.2131979695431472,0.6272641509433962,0.04713916207902523,0.6192851389339831,0.134134929,0.264562609
LaunchpadLevel_105,0.17475728155339806,0.6984680851063829,-0.012487290570874337,0.14102219109798597,0.13166971,0.126665589
LaunchpadLevel_106,0.1712962962962963,0.6836991869918699,0.07686106973277414,0.9831590187683455,0.122348155,0.119605397
LaunchpadLevel_107,0.2376237623762376,0.7050326086956522,0.02812482560302067,0.5272459767923919,0.068789633,0.097729665
LaunchpadLevel_108,0.32057416267942584,0.6841983122362869,0.04179333557657153,0.7374275040640006,0.106443277,0.124478571
LaunchpadLevel_109,0.23414634146341465,0.6688655462184874,0.07179737632697446,0.9678456402530289,0.115323855,0.095912598
LaunchpadLevel_11,0.23857868020304568,0.8280741626794258,-0.05323382327765335,0.7267224641028569,0.144728711,0.133614487
LaunchpadLevel_110,0.20689655172413793,0.6465354330708661,0.0817604958491015,0.9395490107260976,0.119891616,0.224307026
LaunchpadLevel_111,0.21782178217821782,0.6501014760147602,0.013882962736128598,0.16480282156593373,0.151502619,0.225529995
LaunchpadLevel_112,0.3076923076923077,0.6673717948717949,0.0629054603634562,0.9264481117523388,0.140454896,0.187309336
LaunchpadLevel_113,0.22,0.7339583333333334,0.05823384134078874,0.8847855839589807,0.114730139,0.163491
LaunchpadLevel_114,0.21105527638190955,0.6456428571428572,0.036511229311985686,0.6594505728707717,0.073345572,0.132017558
LaunchpadLevel_115,0.25252525252525254,0.7419827586206896,0.038365396120831764,0.802037932503419,0.129945885,0.230541773
LaunchpadLevel_116,0.2634146341463415,0.684326171875,0.06455447865373197,0.9025769086712753,0.145900219,0.221895863
LaunchpadLevel_117,0.21105527638190955,0.7045493562231759,0.06474754181014314,0.9606104406016649,0.104816855,0.196852848
LaunchpadLevel_118,0.3364485981308411,0.6058508403361345,0.05053249835482856,0.8764487875699859,0.130009775,0.211588141
LaunchpadLevel_119,0.21844660194174756,0.8049999999999999,0.0024697121832748803,0.01057972854724137,0.118144316,0.189360091
LaunchpadLevel_12,0.2,0.8243669527896995,-0.0012769462001607798,0.002439166616239903,0.114730139,0.228011555
LaunchpadLevel_120,0.215962441314554,0.6831759656652361,0.06339087999848195,0.9405567879764993,0.045514803,0.030619902
LaunchpadLevel_121,0.2222222222222222,0.7303861003861004,0.020712539539997698,0.11910004966230778,0.129945885,0.197965218
LaunchpadLevel_122,0.2914572864321608,0.7118096234309623,0.01887650449005257,0.3539058133647501,0.12579771,0.099599913
LaunchpadLevel_123,0.21428571428571427,0.6480842911877395,-0.06410203536730225,0.8538910642760417,0.115890084,0.185296558
LaunchpadLevel_124,0.24401913875598086,0.6546474358974359,0.06062408075608656,0.8652027743018238,0.089772443,0.186298266
LaunchpadLevel_125,0.25,0.6773617021276596,0.0802283372518078,0.9747403129970906,0.128649476,0.131230722
LaunchpadLevel_126,0.18686868686868688,0.7360538116591928,0.05920725747569917,0.8920609163526135,0.066694778,0.165388663
LaunchpadLevel_127,0.24271844660194175,0.6833913043478261,0.02269576223926594,0.3741846432733245,0.128288361,0.095318338
LaunchpadLevel_128,0.20408163265306123,0.622095744680851,0.06291390591921267,0.8918925571015741,0.117072998,0.200222999
LaunchpadLevel_129,0.26851851851851855,0.6739940239043826,0.006684029303770416,0.038448911233234205,0.064225516,0.089670184
LaunchpadLevel_13,0.2403846153846154,0.6520903361344538,0.028375137793974013,0.6247840163624587,0.117006666,0.187309336
LaunchpadLevel_130,0.23267326732673269,0.6903125,0.00907925047502658,0.08664732473670345,0.072236008,0.129679747
LaunchpadLevel_131,0.21782178217821782,0.6864387755102042,0.06148282041962276,0.9170368917859713,0.082575131,0.129679747
LaunchpadLevel_132,0.29949238578680204,0.6634939759036145,0.08374758342593576,0.9700846695710602,0.14119745,0.231825578
LaunchpadLevel_133,0.27722772277227725,0.7048229166666666,0.0445382704177775,0.5895060604288653,0.106699752,0.097729665
LaunchpadLevel_134,0.22885572139303484,0.7172368421052632,0.024828683055236094,0.3812039961279399,0.072602289,0.130451489
LaunchpadLevel_135,0.23923444976076555,0.6907941176470589,0.0073128833234109986,0.08219281553921655,0.113111611,0.217208113
LaunchpadLevel_136,0.2727272727272727,0.6002247191011235,0.09734626572019,0.9618345676397392,0.08075058,0.100235554
LaunchpadLevel_137,0.20707070707070707,0.6893968871595331,0.010913881974827228,0.13893905158436146,0.140487736,0.230541773
LaunchpadLevel_138,0.30845771144278605,0.6379838709677419,0.08719985912969444,0.9583269301344824,0.13147369,0.098347058
LaunchpadLevel_139,0.25,0.6603191489361703,0.057536369544614954,0.8032269908971356,0.076451961,0.195751278
LaunchpadLevel_14,0.19095477386934673,0.701474358974359,0.03917907152870286,0.6492365572572749,0.101320045,0.229270493
LaunchpadLevel_140,0.21100917431192662,0.6879732510288066,0.04429263928945901,0.7526718975849068,0.124423963,0.207272805
LaunchpadLevel_141,0.2871287128712871,0.6140234375,0.04844399134714951,0.9116260590949052,0.14460987,0.225529995
LaunchpadLevel_142,0.23902439024390243,0.6769230769230768,0.04347670191356266,0.624389137355828,0.132310724,0.221895863
LaunchpadLevel_143,0.2537313432835821,0.7116666666666667,-0.009407726152842083,0.12794315753613428,0.134936713,0.130451489
