Level,density,LeniencyMetric,LevelSlopeMetric,LinearityMetric,Patterndensity,patternvariation
levelPR-0,0.7566137566137566,0.8969587628865979,0.00810227649397125,0.1284871207357026,0.096774194,0.202525936
levelPR-1,0.7354497354497355,0.7563170731707318,0.004829702688476884,0.03845875473454619,0.093189964,0.16929785
levelPR-10,0.783068783068783,0.8392073170731708,0.006161474127263236,0.05492988360619126,0.086021505,0.069613592
levelPR-100,0.7936507936507936,0.899090909090909,0.0064603085267453345,0.10137546397676203,0.111111111,0.302210194
levelPR-101,0.91005291005291,0.8586616161616161,0.007215617917949315,0.10699919044139737,0.096774194,0.268982108
levelPR-102,0.708994708994709,0.7586714975845411,0.003668478836097061,0.032390186474161295,0.071684588,0.069613592
levelPR-103,0.9523809523809523,0.9435897435897436,0.003300567456169331,0.031223089606462535,0.046594982,0.202525936
levelPR-104,0.746031746031746,0.8608084577114429,0.004907970851096181,0.03870633088795359,0.096774194,0.268982108
levelPR-105,0.91005291005291,0.9948717948717949,0.0053808882818932565,0.04675535213539694,0.043010753,0.00315742
levelPR-106,0.9206349206349206,0.9695939086294416,0.008215721939688747,0.11056867510071096,0.050179211,0.102841678
levelPR-107,0.8306878306878307,0.8934517766497462,0.0025824599614456827,0.008968861633926706,0.103942652,0.302210194
levelPR-108,0.8677248677248677,0.799203431372549,0.00896629379229215,0.13326867551992883,0.096774194,0.16929785
levelPR-109,0.7513227513227513,0.8080665024630541,0.00873051327844203,0.16106209781686048,0.107526882,0.16929785
levelPR-11,0.9576719576719577,0.9333333333333333,0.0061382721417138275,0.10188198237506561,0.075268817,0.235754022
levelPR-110,0.6878306878306878,0.7345169082125604,0.003165147991263465,0.01693377627879287,0.121863799,0.268982108
levelPR-111,0.8835978835978836,0.9690721649484536,0.005899221429026529,0.08678961794107878,0.025089606,0.102841678
levelPR-112,0.8095238095238095,0.7882881773399015,0.003452465099810558,0.01797110877705177,0.136200717,0.235754022
levelPR-113,0.8677248677248677,0.8889646464646463,0.002547318674927725,0.02253890739830449,0.05734767,0.16929785
levelPR-114,0.8624338624338624,0.9340482233502537,0.007762940522208176,0.13448625383846144,0.014336918,0.069613592
levelPR-115,0.7619047619047619,0.9016748768472906,0.009083889624545566,0.13446370298892177,0.086021505,0.102841678
levelPR-116,0.5291005291005291,0.7257107843137256,0.008745196848786841,0.20314308540476908,0.089605735,0.16929785
levelPR-117,0.8412698412698413,0.91464824120603,0.0021708270071210036,0.008864489839873988,0.050179211,0.069613592
levelPR-118,0.7619047619047619,0.8543467336683417,0.006563978483105051,0.09525826920026097,0.086021505,0.268982108
levelPR-119,0.7407407407407407,0.7393478260869566,0.003192833535115417,0.021751556731882546,0.096774194,0.069613592
levelPR-12,0.6772486772486772,0.739064039408867,0.006565646958519419,0.08390777423307512,0.121863799,0.235754022
levelPR-120,0.6507936507936508,0.8060679611650486,0.004202439858872867,0.02644651170709509,0.136200717,0.302210194
levelPR-121,0.8677248677248677,0.8969072164948454,0.009322079818392351,0.14467354622157283,0.05734767,0.16929785
levelPR-122,0.8306878306878307,0.86375,0.0086904207881731,0.13100515716940395,0.064516129,0.16929785
levelPR-123,0.9153439153439153,0.9846153846153847,0.004716838956287811,0.04206288391198564,0.053763441,0.102841678
levelPR-124,0.8677248677248677,0.8889646464646463,0.005711128433492621,0.09240425374830627,0.053763441,0.202525936
levelPR-125,0.6666666666666666,0.7550600961538462,0.0032284742768518507,0.016228375186873038,0.100358423,0.069613592
levelPR-126,0.7407407407407407,0.9077307692307692,0.006239881327089244,0.05863747789240473,0.064516129,0.202525936
levelPR-127,0.5767195767195767,0.7575364077669904,0.00472222223807366,0.03361470740077023,0.114695341,0.16929785
levelPR-128,0.873015873015873,0.8951125000000001,0.004249148938886702,0.02933794675287268,0.071684588,0.16929785
levelPR-129,0.8253968253968254,0.861576923076923,0.003960257253243964,0.030613080151472072,0.089605735,0.268982108
levelPR-13,0.8518518518518519,0.8776275510204081,0.00531167827421715,0.044556126703660624,0.050179211,0.069613592
levelPR-130,0.9259259259259259,0.9442005076142131,0.008367781164736285,0.20193362847446114,0.014336918,0.069613592
levelPR-131,0.7513227513227513,0.8141834170854272,0.004943119094288076,0.03229798365949916,0.103942652,0.268982108
