Level,density,LeniencyMetric,LevelSlopeMetric,LinearityMetric,Patterndensity,patternvariation
levelP-0,0.8677248677248677,0.9297361809045225,-0.0014621447854475643,0.015011358432254407,0.068100358,0.202525936
levelP-1,0.8677248677248677,0.9297361809045225,0.002138782662510371,0.02745997639841828,0.068100358,0.302210194
levelP-10,0.8253968253968254,0.9297361809045225,0.0017270251181562043,0.016573198874835913,0.064516129,0.33543828
levelP-100,0.9576719576719577,0.8794472361809045,-0.0011961240735159054,0.01356958835943395,0.064516129,0.268982108
levelP-101,0.91005291005291,0.8838636363636363,0.0015291772796946817,0.024710455404478537,0.0609319,0.268982108
levelP-102,0.8783068783068783,0.88005,0.003260465003622746,0.05473606792975104,0.05734767,0.235754022
levelP-103,0.9153439153439153,0.8794472361809045,0.0034730955619664498,0.06006375246820032,0.043010753,0.268982108
levelP-104,0.8677248677248677,0.8794472361809045,0.0026848342461071343,0.05052037313254983,0.064516129,0.268982108
levelP-105,0.9576719576719577,0.8794472361809045,0.0005817043254170044,0.0076297356272104514,0.046594982,0.268982108
levelP-106,0.8095238095238095,0.8794472361809045,0.0010753666381391879,0.004775406751805077,0.064516129,0.268982108
levelP-107,0.798941798941799,0.8794472361809045,0.0032109707659779673,0.060257311190819625,0.064516129,0.268982108
levelP-108,0.873015873015873,0.8788383838383838,0.00043336497824565917,0.001244932045930024,0.046594982,0.235754022
levelP-109,0.8888888888888888,0.8788383838383838,0.0035090475911704337,0.058503437315999066,0.035842294,0.16929785
levelP-11,0.9576719576719577,0.929381313131313,0.003856519865356554,0.10155889881540915,0.043010753,0.268982108
levelP-110,0.8783068783068783,0.8794472361809045,0.0037076321843020885,0.10227436968913485,0.064516129,0.268982108
levelP-111,0.8835978835978836,0.8794472361809045,0.003237130230828528,0.0426945029667729,0.053763441,0.302210194
levelP-112,0.9153439153439153,0.8744221105527638,0.0030784173281885423,0.049654176721991995,0.071684588,0.268982108
levelP-113,0.873015873015873,0.8794472361809045,0.00019813783364206264,0.0002616743673703752,0.064516129,0.268982108
levelP-114,0.8677248677248677,0.8794472361809045,-0.0030304937178831154,0.06853919223137854,0.050179211,0.202525936
levelP-115,0.9206349206349206,0.8794472361809045,-0.00017035601204741047,0.0002769899434672117,0.053763441,0.268982108
levelP-116,0.9153439153439153,0.88005,0.003839005011252237,0.06956999426995555,0.05734767,0.268982108
levelP-117,0.91005291005291,0.8794472361809045,0.002378332416262987,0.05730923886866127,0.050179211,0.202525936
levelP-118,0.91005291005291,0.88005,0.0021026321712302775,0.06419696729811272,0.053763441,0.268982108
levelP-119,0.9153439153439153,0.8794472361809045,0.0039023576354375268,0.09424735850413801,0.043010753,0.16929785
levelP-12,0.8677248677248677,0.9297361809045225,-0.000356834891241372,0.0005577663428901545,0.046594982,0.202525936
