Level,density,LeniencyMetric,LevelSlopeMetric,LinearityMetric,Patterndensity,patternvariation
levelN-0,0.17989417989417988,0.6987130177514793,0.002010094117722207,0.010052913037596669,0.143369176,0.368666366
levelN-1,0.31216931216931215,0.645414201183432,0.008677909106223266,0.11424870161200328,0.132616487,0.33543828
levelN-10,0.6084656084656085,0.7887500000000001,0.01662677500223923,0.3345615659020278,0.143369176,0.235754022
levelN-100,0.3492063492063492,0.6292142857142857,0.0000067382319420726654,0.00000009395992442752396,0.125448029,0.16929785
levelN-101,0.31216931216931215,0.5912719298245614,0.00423245720122987,0.04884333508204573,0.146953405,0.302210194
levelN-102,0.3386243386243386,0.6234857142857143,0.00044841439715354796,0.0002172805299243402,0.11827957,0.368666366
levelN-103,0.43915343915343913,0.6838055555555556,-0.012291488310433432,0.28144144654902936,0.100358423,0.202525936
levelN-104,0.2698412698412698,0.6559322033898305,-0.005428152352900476,0.10874520318011353,0.125448029,0.136069764
levelN-105,0.5026455026455027,0.7181748466257669,-0.0031824827153237303,0.01297232776334085,0.157706093,0.368666366
levelN-106,0.5026455026455027,0.7781172839506173,0.01146796408024877,0.1277066970033799,0.132616487,0.33543828
levelN-107,0.7142857142857143,0.5790945945945946,0.007833456421964771,0.048348538468301346,0.164874552,0.33543828
levelN-108,0.2962962962962963,0.5767527173913044,0.00026011317429029804,0.0000971419301520479,0.150537634,0.235754022
levelN-109,0.2857142857142857,0.7787658227848101,0.007398033978884911,0.08057267247695984,0.11827957,0.202525936
levelN-11,0.37566137566137564,0.7108059210526316,0.010274242981441547,0.05178587238243432,0.17921147,0.33543828
levelN-110,0.4973544973544973,0.7199542682926828,0.01830441941393703,0.31812175224884665,0.125448029,0.368666366
levelN-111,0.4444444444444444,0.5647820512820513,-0.00989170252302873,0.20670441734572223,0.139784946,0.268982108
levelN-112,0.6296296296296297,0.6709517045454546,0.009948198725841191,0.08589866294410116,0.161290323,0.33543828
levelN-113,0.38095238095238093,0.7388398692810457,-0.0015564265414710165,0.00488046573868639,0.136200717,0.33543828
levelN-114,0.6031746031746031,0.5887967914438503,0.011665518767496715,0.32690458782675025,0.136200717,0.202525936
levelN-115,0.7777777777777778,0.6380263157894737,0.012166700767683163,0.16743244307920335,0.125448029,0.302210194
levelN-116,0.4021164021164021,0.7680322580645161,0.014267664884237577,0.16749417013378742,0.168458781,0.33543828
levelN-117,0.24338624338624337,0.7323039215686274,0.01323151291085998,0.14699699377163805,0.189964158,0.268982108
levelN-118,0.30687830687830686,0.6691717791411043,0.0047170658429922544,0.04253807654257562,0.111111111,0.368666366
levelN-119,0.2804232804232804,0.6905409356725146,-0.0004188239225837507,0.00017382575426333716,0.143369176,0.302210194
levelN-12,0.5767195767195767,0.674564606741573,0.009109914852446027,0.11255970888523509,0.129032258,0.235754022
levelN-120,0.31216931216931215,0.6709393063583815,0.004703621095099963,0.04402380295187119,0.139784946,0.268982108
levelN-121,0.32275132275132273,0.5804255319148937,-0.010302196163864534,0.3361906508582277,0.139784946,0.16929785
levelN-122,0.38095238095238093,0.5876741293532338,-0.0068819812516269,0.11792746452778337,0.189964158,0.235754022
levelN-123,0.37037037037037035,0.6868639053254437,-0.005941557194762878,0.06275305712264002,0.132616487,0.368666366
levelN-124,0.291005291005291,0.6256392045454545,0.007209535129279335,0.10636683851794614,0.150537634,0.202525936
levelN-125,0.1693121693121693,0.7350154320987654,0.007863559194227607,0.12718990202747188,0.103942652,0.102841678
levelN-126,0.3862433862433862,0.6425852272727273,0.0003855388839983624,0.00040516718266979927,0.125448029,0.268982108
levelN-127,0.746031746031746,0.6107485875706214,0.005572532238529873,0.061579751378002534,0.125448029,0.136069764
levelN-128,0.328042328042328,0.625,-0.004601331773161328,0.036673951540576656,0.154121864,0.268982108
levelN-129,0.21164021164021163,0.684985119047619,0.010692158483724231,0.26100115098229526,0.121863799,0.268982108
levelN-13,0.49206349206349204,0.5589213197969544,0.008277744461157517,0.09329852738258403,0.139784946,0.302210194
levelN-130,0.5978835978835979,0.6304005524861878,0.00931508174041267,0.1187812014232531,0.114695341,0.136069764
levelN-131,0.25925925925925924,0.7504326923076923,0.0025310574465966713,0.011235201711973144,0.111111111,0.268982108
levelN-132,0.6825396825396826,0.6120077720207254,0.00851045710101731,0.12582959487899364,0.164874552,0.302210194
levelN-133,0.2804232804232804,0.6176857142857143,0.003005568154872982,0.013949321459758484,0.136200717,0.268982108
levelN-134,0.2962962962962963,0.6298033707865168,0.0038305731852025402,0.025549820075554872,0.129032258,0.136069764
levelN-135,0.5132275132275133,0.6726092896174863,0.014428029973791393,0.22332165427391978,0.111111111,0.235754022
levelN-136,0.582010582010582,0.6727361111111111,0.0071205854521712054,0.06422619260268438,0.154121864,0.302210194
levelN-137,0.21693121693121692,0.6905116959064328,-0.007169234883497259,0.09854625302051494,0.111111111,0.102841678
levelN-138,0.656084656084656,0.734407514450867,0.017141705355573012,0.18790805789529935,0.186379928,0.302210194
levelN-139,0.4973544973544973,0.6539204545454546,0.0036526082192235875,0.016249555481526654,0.154121864,0.368666366
levelN-14,0.37566137566137564,0.7365337423312884,-0.0070835595384065725,0.05326115996298441,0.129032258,0.302210194
levelN-140,0.3492063492063492,0.6741315789473684,-0.0009031437172996477,0.0008485718413927504,0.157706093,0.368666366
levelN-141,0.6190476190476191,0.5767527173913044,0.012440933134895804,0.12160100857238716,0.186379928,0.33543828
levelN-142,0.7724867724867724,0.5346989528795811,0.005653931946348417,0.10197779746031731,0.161290323,0.202525936
levelN-143,0.32275132275132273,0.6609104938271605,-0.0010676523554529413,0.0009995829954673552,0.17921147,0.401894452
levelN-144,0.5978835978835979,0.7411265432098766,0.013902797757612852,0.24371018724768545,0.121863799,0.401894452
levelN-145,0.31216931216931215,0.6923110465116279,-0.0003773490463822753,0.00021522065851026288,0.136200717,0.368666366
levelN-146,0.328042328042328,0.617263888888889,-0.009749239955506007,0.11784173257368924,0.121863799,0.235754022
levelN-147,0.24338624338624337,0.7408386075949367,0.0030743094567661647,0.019739117753170995,0.172043011,0.368666366
levelN-148,0.2804232804232804,0.5448529411764707,-0.004236061148232074,0.049019252607411995,0.139784946,0.202525936
levelN-149,0.3544973544973545,0.6318435754189944,0.0010592852064967568,0.001165283991492608,0.107526882,0.202525936
levelN-15,0.48148148148148145,0.7155696202531646,0.017966260266058385,0.5069489789208566,0.121863799,0.235754022
levelN-150,0.3333333333333333,0.5974999999999999,0.0070097747271914285,0.07199010910097581,0.11827957,0.235754022
levelN-151,0.5925925925925926,0.6856172839506173,0.01054564719047587,0.10716785351912934,0.172043011,0.401894452
levelN-152,0.21164021164021163,0.6352994011976048,0.004842047427781217,0.06437765198857212,0.111111111,0.16929785
levelN-153,0.6825396825396826,0.575025641025641,0.018994612296773745,0.2804150518372116,0.11827957,0.202525936
levelN-154,0.6243386243386243,0.6255978260869565,0.01219195053999924,0.18669856379092845,0.125448029,0.202525936
